The Netherlands	null	5.5346074	52.2379891
Benin	null	2.2584408	9.5293472
Cameroon	null	13.1535811	4.6125522
Malaysia	null	112.8471939	2.3923759
Portugal	null	-7.8896262	40.033265
Islamic Republic of Iran	null	52.9471344	32.9407496
Greece	null	21.9999569	39.000041
South Korea	null	127.937111	35.3985008
Austria	null	13.199959	47.2000338
Iran	null	52.9471344	32.9407496
Luxembourg	null	6.1296751	49.8158683
Brazil	null	-53.1999999	-10.3333332
Algeria	null	2.9999825	28.0000272
Slovenia	null	14.4808369	45.8133113
Chile	null	-71.3187696	-31.7613364
The Gambia	null	-15.4900463	13.470062
Colombia	null	-73.7845142	2.893108
RSA	null	24.991639	-28.8166235
Argentina	null	-64.9672816	-34.9964962
Hungary	null	19.5060937	47.1817585
Japan	null	139.2394179	36.5748441
Ukraine	null	31.2718321	49.4871968
Ghana	null	-1.080027	8.0300284
India	null	78.6677428	22.3511148
New Zealand	null	172.8344077	-41.500083
Canada	null	-107.991707	61.0666922
Turkey	null	34.9249653	38.9597594
Belgium	null	4.66696	50.6407351
Taiwan	null	120.9820179	23.9739374
Finland	null	25.9209164	63.2467777
Italy	null	12.674297	42.6384261
Palestinian Territory	null	35.162072	31.649741
Georgia	null	44.0287382	41.6809707
Germany	Europe	10.4234469	51.0834196
Yemen	null	47.8915271	16.3471243
Haiti	null	-72.3570971	19.1399952
Russian Federation	null	97.7453061	64.6863136
Singapore	null	103.852038	1.2904527
United States	null	-100.4458824	39.7837304
United States of America	null	-100.4458824	39.7837304
Egypt	null	29.2675469	26.2540493
Thailand	null	100.83273	14.8971921
Costa Rica	null	-84.0739101	10.2735633
Saudi Arabia	null	42.3528328	25.6242618
Sweden	null	14.5208584	59.6749712
Netherlands	null	5.5346074	52.2379891
Republic of China	null	120.9820179	23.9739374
China	null	104.999927	35.000074
Ireland	null	-7.9794598	52.865196
Poland	null	19.0258159	52.0977181
Slovakia	null	19.4528646	48.7411522
France	null	1.8883335	46.603354
Bulgaria	null	25.4856617	42.6073975
Croatia	null	17.0118954	45.5643442
Philippines	null	122.7312101	12.7503486
United Kingdom	null	-3.2765752	54.7023545
Kenya	null	38.4313975	1.4419683
Switzerland	null	8.2319736	46.7985624
Spain	null	-4.0031039	40.0028028
Lebanon	null	35.843409	33.8750629
Venezuela	null	-66.1109317	8.0018709
Czech Republic	null	15.4749544	49.8167003
Bangladesh	null	90.2932426	24.4768783
Mauritania	null	-9.2399262	20.2540382
Norway	null	11.5270103	64.574131
Denmark	null	10.3333283	55.670249
Mexico	null	-99.1332101	19.4325301
Uganda	null	32.2166578	1.5333554
Israel	null	35.0015196	30.8760272
Australia	null	134.755	-24.7761085
Indonesia	null	114.5632032	-4.7993355
Estonia	null	25.3319078	58.7523778
